UF,RO
Cidade,ARIQUEMES
Nome Posto,MINERACAO PONTE MASSANGANA
Latitude,-9.760833333333334
Longitude,-63.2875
Codigo,1063001
Qtd. Anos,38
Ano,Maxima
1980,87.2
1981,120.6
1982,94
1983,106.6
1984,75
1985,68
1986,91.4
1987,136
1988,163
1989,86.4
1992,65
1993,142.8
1994,100.2
1995,58
1996,167.4
1997,122.8
1998,76.8
1999,79.2
2000,81.7
2001,136.8
2002,88.3
2003,132.6
2004,79.2
2005,122.6
2006,90
2007,103.4
2008,88.8
2009,128
2010,110.8
2011,69.9
2012,75.3
2013,78.1
2014,72.2
2015,87.8
2016,119.6
2017,47.7
2018,61.1
2019,393
