UF,RO
Cidade,PIMENTA BUENO
Nome Posto,PIMENTA BUENO
Latitude,-11.68361111111111
Longitude,-61.19222222222222
Codigo,1161001
Qtd. Anos,40
Ano,Maxima
1980,105
1981,79.1
1982,109.4
1983,115.2
1984,122.2
1985,72.4
1986,62.4
1987,85.4
1988,71.4
1989,66.4
1990,66.4
1991,130
1992,87.5
1993,121.3
1994,68.8
1995,92.4
1996,75.6
1997,94.2
1998,76.2
1999,91.4
2000,79.9
2001,79.6
2002,66.7
2003,131.2
2004,81.3
2005,126.8
2006,93.1
2007,126.1
2008,89.5
2009,78.2
2010,98.8
2011,67
2012,93
2013,125.9
2014,82.6
2015,59.5
2016,106.8
2017,76.2
2018,102.7
2019,95.5
