UF,RO
Cidade,MIRANTE DA SERRA
Nome Posto,MIRANTE DA SERRA
Latitude,-11.00361111111111
Longitude,-62.65611111111111
Codigo,1062003
Qtd. Anos,37
Ano,Maxima
1983,53.6
1984,71.2
1985,75
1986,79
1987,115.4
1988,95
1989,105
1990,105.6
1991,80.6
1992,98.3
1993,67.1
1994,32.7
1995,90
1996,77.5
1997,78.2
1998,89.2
1999,57.5
2000,67.3
2001,77.5
2002,86
2003,85.7
2004,76
2005,63
2006,58.2
2007,75.9
2008,81.4
2009,90.5
2010,74.5
2011,64.1
2012,90.5
2013,68.5
2014,92.8
2015,64.1
2016,88.8
2017,65.6
2018,80.4
2019,161
