UF,RO
Cidade,CACOAL
Nome Posto,VISTA ALEGRE
Latitude,-11.440833333333334
Longitude,-61.48388888888889
Codigo,1161000
Qtd. Anos,43
Ano,Maxima
1977,52
1978,110.2
1979,118
1980,90.3
1981,95
1982,85.2
1983,93
1984,105
1985,73
1986,90
1987,99.4
1988,123
1989,21.2
1990,215.3
1991,176.1
1992,126.2
1993,69.5
1994,78.1
1995,61
1996,100.3
1997,81.4
1998,70
1999,72.7
2000,95.6
2001,91
2002,84.4
2003,114.4
2004,139.9
2005,75.3
2006,145.3
2007,96.5
2008,123.3
2009,104.5
2010,129.5
2011,98.7
2012,85.3
2013,100.6
2014,131.1
2015,153
2016,165.9
2017,164.5
2018,103.2
2019,102.8
