UF,RO
Cidade,ARIQUEMES
Nome Posto,ESCOLA CARAMURU
Latitude,-10.505
Longitude,-63.64611111111111
Codigo,1063000
Qtd. Anos,40
Ano,Maxima
1978,100.3
1979,100.2
1980,80
1981,105
1982,75.6
1983,118.6
1984,81.2
1985,86.2
1986,78
1987,67
1988,86.4
1989,134.2
1992,31.8
1993,99.2
1994,55.2
1995,74.8
1996,96.4
1997,94.8
1998,75
1999,50
2000,94.3
2001,256
2002,423.4
2003,97
2004,84.8
2005,80.6
2006,125.4
2007,85.2
2008,105.4
2009,105.2
2010,126.2
2011,138.8
2012,77.2
2013,97.8
2014,103.2
2015,98.6
2016,95.9
2017,132.4
2018,86.4
2019,115.4
