UF,RO
Cidade,PORTO VELHO
Nome Posto,PORTO VELHO
Latitude,-8.766666666666667
Longitude,-63.916666666666664
Codigo,863000
Qtd. Anos,45
Ano,Maxima
1961,127.5
1962,101.6
1963,94
1964,90.2
1965,80.4
1966,132.5
1967,121
1968,95.5
1969,84
1970,102.6
1971,338.1
1972,513.3
1973,469.9
1974,203.2
1975,103.9
1976,114
1977,130
1978,109
1979,157.6
1980,118.2
1981,86
1982,93.2
1983,144.2
1984,86
1985,73
1986,85
1987,90.4
1988,74.2
1989,43.2
1990,65.8
1991,77.7
1992,94
1993,67
1994,133
1995,97.2
1996,93.2
1997,91.4
1998,76.7
1999,276.3
2000,435
2001,665.3
2002,496
2003,333.6
2004,408.9
2005,336.6
