UF,RO
Cidade,MINISTRO ANDREAZZA
Nome Posto,MINISTRO ANDREAZZA
Latitude,-11.196944444444444
Longitude,-61.528055555555554
Codigo,1161003
Qtd. Anos,21
Ano,Maxima
1999,52.4
2000,75.7
2001,83.4
2002,72.8
2003,86.4
2004,89.7
2005,71.5
2006,109
2007,86.3
2008,87.8
2009,87.9
2010,69.8
2011,94.6
2012,89
2013,150
2014,115
2015,82.1
2016,69.4
2017,108
2018,83.2
2019,115.7
