UF,RO
Cidade,PIMENTA BUENO
Nome Posto,FAZENDA FLOR DO CAMPO
Latitude,-11.748888888888889
Longitude,-60.867777777777775
Codigo,1160002
Qtd. Anos,39
Ano,Maxima
1982,52.2
1983,73
1984,109
1985,104.6
1986,89.2
1987,74.2
1988,89.8
1989,75.6
1990,63.6
1991,103.4
1992,61.2
1993,134.2
1994,76.4
1995,82.8
1996,65.4
1997,184.2
1998,97.4
1999,101.2
2000,58.6
2001,77.7
2002,104.2
2003,93.2
2004,76.4
2005,73.1
2006,73.2
2007,58.9
2008,96.3
2009,75.6
2010,86.7
2011,82
2012,83.6
2013,94.3
2014,98.6
2015,101.2
2016,84.7
2017,71.3
2018,101.3
2019,80.5
2020,42.8
