UF,RO
Cidade,GUAJARA-MIRIM
Nome Posto,GUAJARA-MIRIM
Latitude,-10.7925
Longitude,-65.34777777777778
Codigo,1065002
Qtd. Anos,49
Ano,Maxima
1972,68
1973,98
1974,145.4
1975,216.2
1976,105.8
1977,114.8
1978,83.4
1979,73.4
1980,91.2
1981,104
1982,89.6
1983,83.6
1984,80.6
1985,79.3
1986,84
1987,121
1988,76.1
1989,99.8
1990,41.2
1991,110.5
1992,91.3
1993,107.1
1994,86.6
1995,53.1
1996,61.1
1997,88
1998,68
1999,93.9
2000,70.7
2001,110.7
2002,63.2
2003,222
2004,70.8
2005,142.4
2006,89.1
2007,87
2008,87.7
2009,103.1
2010,83
2011,99.7
2012,90.3
2013,65.6
2014,139.3
2015,130
2016,108.9
2017,64.2
2018,167
2019,86.1
2020,53.3
