UF,RO
Cidade,VILHENA
Nome Posto,VILHENA
Latitude,-12.7
Longitude,-60.083333333333336
Codigo,1260001
Qtd. Anos,24
Ano,Maxima
1967,69
1968,64.6
1969,81.7
1970,57.5
1971,62.8
1972,76
1973,83.1
1974,80.8
1975,73.2
1976,86.9
1977,94
1978,100.7
1979,53.2
1980,70.5
1981,195.5
1982,87.4
1983,68.9
1984,72.1
1985,61.3
1986,71
1987,43.6
1988,96.8
1989,49.1
1990,41.4
