UF,RO
Cidade,COSTA MARQUES
Nome Posto,PRINCIPE DA BEIRA
Latitude,-12.426944444444445
Longitude,-64.4225
Codigo,1264000
Qtd. Anos,38
Ano,Maxima
1983,46.6
1984,49.8
1985,85
1986,70
1987,105
1988,97
1989,75
1990,54.4
1991,105.4
1992,117.2
1993,105.4
1994,134
1995,67.4
1996,111.6
1997,108
1998,135
1999,80.6
2000,61.4
2001,61.2
2002,60.5
2003,59.4
2004,28.9
2005,66.4
2006,99.9
2007,55.8
2008,118
2009,130.5
2010,88.3
2011,102.9
2012,79.2
2013,106.5
2014,69.3
2015,100.4
2016,59
2017,106.9
2018,166.5
2019,95.6
2020,99.2
