UF,RO
Cidade,COLORADO DO OESTE
Nome Posto,COLORADO DO OESTE
Latitude,-13.114166666666666
Longitude,-60.54833333333333
Codigo,1360000
Qtd. Anos,37
Ano,Maxima
1983,120.8
1984,65
1985,96
1986,72.6
1987,86.7
1988,100.5
1989,52.5
1990,119.2
1991,109.2
1992,165
1993,64.3
1994,108.3
1995,105.6
1996,95.7
1997,102.2
1998,99.5
1999,135.2
2000,134.7
2001,108
2002,92.3
2003,67.3
2004,64.4
2005,107.7
2006,157.4
2007,95.2
2008,104.9
2009,74.6
2010,62.7
2011,101.2
2012,123.5
2013,90.9
2014,106.5
2015,79.8
2016,93.5
2017,144.6
2018,260
2019,66.4
