UF,RO
Cidade,CEREJEIRAS
Nome Posto,CEREJEIRA
Latitude,-13.196666666666667
Longitude,-60.82333333333334
Codigo,1360001
Qtd. Anos,37
Ano,Maxima
1983,81.4
1984,153
1985,62
1986,42
1987,98.4
1988,81.1
1989,44.5
1990,159.4
1991,150.7
1992,86.9
1993,77
1994,91.4
1995,99.5
1996,176.6
1997,118.9
1998,81.5
1999,67.7
2000,59.4
2001,77.8
2002,93
2003,88.9
2004,128.8
2005,51.5
2006,99
2007,104.8
2008,102.8
2009,160
2010,106.7
2011,91.5
2012,96.6
2013,93.1
2014,69.5
2015,57.3
2016,156.7
2017,116
2018,68.2
2019,67.7
