UF,RO
Cidade,MACHADINHO D'OESTE
Nome Posto,MINERACAO ORIENTE NOVO
Latitude,-9.586388888888889
Longitude,-62.39388888888889
Codigo,962000
Qtd. Anos,38
Ano,Maxima
1978,150
1979,79.4
1980,119.4
1981,115.2
1982,112.1
1983,123.8
1984,147.2
1985,73.8
1986,80
1987,80.6
1992,76.7
1993,110.8
1994,105.5
1995,101.7
1996,98.4
1997,99.3
1998,97.9
1999,98.2
2000,99.7
2001,98.7
2002,70.6
2003,117.8
2004,72.5
2005,84.8
2006,87.5
2007,69.3
2008,116.5
2009,114.3
2010,86.9
2011,88.3
2012,69.1
2013,93.1
2014,61.2
2015,35.3
2016,67.7
2017,73.6
2018,59.9
2019,52.8
