UF,RO
Cidade,ROLIM DE MOURA
Nome Posto,ROLIM DE MOURA
Latitude,-11.749722222222221
Longitude,-61.77638888888889
Codigo,1161002
Qtd. Anos,37
Ano,Maxima
1983,75
1984,85.3
1985,89
1986,61.4
1987,87.2
1988,82
1989,114.1
1990,82
1991,141
1992,141
1993,90.5
1994,90
1995,125.6
1996,70
1997,122
1998,103
1999,120
2000,67
2001,115
2002,75
2003,81
2004,43.6
2005,96.1
2006,96.1
2007,107.8
2008,68.4
2009,128.3
2010,114.7
2011,81.5
2012,101.4
2013,118.8
2014,116.2
2015,133
2016,70.9
2017,72.8
2018,82.2
2019,114.1
