UF,RO
Cidade,JARU
Nome Posto,JARU
Latitude,-10.445833333333333
Longitude,-62.46555555555556
Codigo,1062001
Qtd. Anos,43
Ano,Maxima
1977,95.4
1978,105.2
1979,100.4
1980,100.8
1981,87.6
1982,95.4
1983,212.8
1984,70.6
1985,131.4
1986,91.2
1987,92.4
1988,82
1989,88.2
1990,152
1991,94.2
1992,67.8
1993,82.2
1994,140
1995,101.6
1996,62.2
1997,112.3
1998,113.7
1999,106.6
2000,76
2001,112.5
2002,76.3
2003,97.8
2004,128.6
2005,70.2
2006,79.5
2007,127.7
2008,60.3
2009,79.9
2010,53.3
2011,122.5
2012,81.4
2013,97.9
2014,88.3
2015,84
2016,76.3
2017,75.3
2018,139.6
2019,76.3
