UF,RO
Cidade,JARU
Nome Posto,SERINGAL 70
Latitude,-10.236388888888888
Longitude,-62.62722222222222
Codigo,1062002
Qtd. Anos,42
Ano,Maxima
1978,105
1979,150.6
1980,84.8
1981,74.2
1982,77.4
1983,112.4
1984,97
1985,88.2
1986,125.2
1987,95.6
1988,92.8
1989,102.6
1990,80.2
1991,96.4
1992,89.2
1993,106.5
1994,63.3
1995,112.4
1996,100
1997,60
1998,97.9
1999,67.6
2000,94.8
2001,118.2
2002,134.7
2003,120
2004,113.8
2005,93.2
2006,93.4
2007,105.1
2008,112.5
2009,100
2010,69.9
2011,100.5
2012,80.3
2013,90.6
2014,81.3
2015,97
2016,76.3
2017,75.4
2018,90.1
2019,130.8
