UF,RO
Cidade,PIMENTEIRAS DO OESTE
Nome Posto,PIMENTEIRAS
Latitude,-13.479722222222222
Longitude,-61.046388888888885
Codigo,1360002
Qtd. Anos,37
Ano,Maxima
1983,100.4
1984,118.3
1985,119
1986,154
1987,84.2
1988,80.8
1989,96.7
1990,99.8
1991,95.3
1992,88.9
1993,98.9
1994,97.8
1995,91.2
1996,98.6
1997,98.7
1998,98.9
1999,9.9
2000,9.9
2001,21.5
2002,9.7
2003,110
2004,90
2005,84.6
2006,97.2
2007,78.5
2008,227.4
2009,111.4
2010,72.5
2011,75.4
2012,96
2013,93.4
2014,89.4
2015,58.8
2016,93.6
2017,100
2018,130.1
2019,181.2
