UF,RO
Cidade,ARIQUEMES
Nome Posto,FAZENDA RIO BRANCO
Latitude,-9.887222222222222
Longitude,-62.98777777777778
Codigo,963004
Qtd. Anos,40
Ano,Maxima
1980,59.8
1981,100
1982,117.6
1983,150
1984,94
1985,85
1986,95.1
1987,130
1988,104
1989,80.7
1990,63
1991,71
1992,86.6
1993,90.6
1994,80.6
1995,90
1996,165.2
1997,97.3
1998,90
1999,121.3
2000,73.3
2001,133.7
2002,127.5
2003,89.6
2004,122.2
2005,92.8
2006,88.1
2007,86
2008,119.8
2009,110.8
2010,94.9
2011,94
2012,117
2013,121.7
2014,75.5
2015,94.7
2016,93.2
2017,85.5
2018,116.3
2019,118.9
