UF,RO
Cidade,COSTA MARQUES
Nome Posto,PEDRAS NEGRAS
Latitude,-12.851388888888888
Longitude,-62.899166666666666
Codigo,1262000
Qtd. Anos,41
Ano,Maxima
1980,55.5
1981,107
1982,107
1983,65.4
1984,82.2
1985,109
1986,65.2
1987,50.1
1988,95
1989,77.7
1990,39.5
1991,77
1992,90.2
1993,103.6
1994,82.2
1995,58.8
1996,120.5
1997,92.4
1998,126.4
1999,92.9
2000,95.5
2001,118.3
2002,99.1
2003,96.1
2004,95.5
2005,99.5
2006,95.5
2007,99.3
2008,97.1
2009,96.1
2010,99.1
2011,108.6
2012,99.1
2013,101.3
2014,93
2015,98.8
2016,56.4
2017,56.8
2018,91.9
2019,92
2020,70.2
