UF,PA
Cidade,PRIMAVERA
Nome Posto,PRIMAVERA
Latitude,-0.9294444444444444
Longitude,-47.099444444444444
Codigo,47004
Qtd. Anos,38
Ano,Maxima
1982,86.8
1983,144.2
1984,122.2
1985,111
1986,113
1987,142.4
1988,129.1
1989,78.5
1990,91.6
1991,120
1992,130.3
1993,72.7
1994,126
1995,135.8
1996,92.6
1997,130.4
1998,121
1999,93
2000,101.2
2001,106.6
2002,86
2003,117.6
2004,93
2005,91.7
2006,103
2007,117
2008,115.5
2009,151
2010,97
2011,136.7
2012,74.3
2013,124
2014,90.8
2015,69.9
2016,97.9
2017,83
2018,136.2
2019,127.7
