UF,PA
Cidade,PARAGOMINAS
Nome Posto,GURUPIZINHO
Latitude,-3.7425
Longitude,-47.49777777777778
Codigo,347001
Qtd. Anos,40
Ano,Maxima
1980,32
1981,72.5
1982,107
1983,62.3
1984,73.4
1985,92.2
1986,63
1987,87.9
1988,120.3
1989,204.5
1990,106.2
1991,84.5
1992,79.5
1993,78.2
1994,115
1995,96
1996,75.7
1997,85.2
1998,114
1999,127.8
2000,72
2001,75.6
2002,106.1
2003,73
2004,100
2005,113.3
2006,99.5
2007,56.5
2008,48.9
2009,95.9
2010,49.1
2011,86.7
2012,62.9
2013,113.8
2014,58.1
2015,86
2016,126.8
2017,116.4
2018,101.8
2019,10.2
