UF,PA
Cidade,ITAITUBA
Nome Posto,KM 1326 BR-163
Latitude,-5.1825
Longitude,-56.05777777777777
Codigo,555000
Qtd. Anos,40
Ano,Maxima
1980,85.1
1981,96
1982,90
1983,55.3
1984,83.1
1985,100.3
1986,59.2
1987,97.3
1988,150
1989,95.3
1990,112
1991,163.3
1992,87
1993,76.5
1994,148.2
1995,100
1996,90.3
1997,95.5
1998,67.5
1999,128.1
2000,124.1
2001,76
2002,91
2003,148.5
2004,78.6
2005,99.1
2006,93.3
2007,151.7
2008,100.1
2009,113.4
2010,120.3
2011,112
2012,112
2013,129.3
2014,75.5
2015,63
2016,82
2017,89.3
2018,104
2019,111
