UF,PA
Cidade,SAO DOMINGOS DO CAPIM
Nome Posto,FAZENDA MARINGA
Latitude,-3.154444444444444
Longitude,-48.08583333333333
Codigo,348001
Qtd. Anos,38
Ano,Maxima
1982,58
1983,79
1984,150
1985,150
1986,89.2
1987,150
1988,122.5
1989,104.3
1990,103.1
1991,107.7
1992,112
1993,165
1994,85.6
1995,80.3
1996,88.1
1997,92.1
1998,88.3
1999,122.6
2000,109.7
2001,109.4
2002,90
2003,76.5
2004,135.6
2005,64
2006,119
2007,147.1
2008,135.1
2009,107.2
2010,57.4
2011,157.8
2012,80
2013,80
2014,62.2
2015,59.4
2016,67.5
2017,177.7
2018,84.1
2019,94
