UF,PA
Cidade,PORTEL
Nome Posto,MARACACUERA FLORESTAL
Latitude,-2.245
Longitude,-51.17944444444444
Codigo,251000
Qtd. Anos,43
Ano,Maxima
1977,58
1978,85
1979,110
1980,72
1981,84.2
1982,92.4
1983,79.2
1984,112.2
1985,152
1986,90.8
1987,72.2
1988,92.2
1989,67.3
1990,137.6
1991,92.6
1992,94.9
1993,142.2
1994,73.5
1995,110
1996,76
1997,94.9
1998,74.5
1999,98.7
2000,84.8
2001,127.3
2002,100.6
2003,83.8
2004,62.1
2005,93.3
2006,52.1
2007,49.7
2008,49.1
2009,77.1
2010,49.1
2011,99.7
2012,97.1
2013,83.3
2014,97
2015,53.9
2016,117.7
2017,93.2
2018,88.9
2019,73
