UF,PA
Cidade,PRAINHA
Nome Posto,URUARA
Latitude,-3.6777777777777776
Longitude,-53.55444444444444
Codigo,353000
Qtd. Anos,42
Ano,Maxima
1978,71
1979,112
1980,161.4
1981,92.2
1982,97.4
1983,53.6
1984,83
1985,115.6
1986,76.8
1987,40.2
1988,129.6
1989,65.3
1990,75.4
1991,56.6
1992,60
1993,59.7
1994,76
1995,91
1996,76.4
1997,51.7
1998,82.5
1999,69.7
2000,74.3
2001,78.2
2002,75.5
2003,60.3
2004,75.5
2005,106
2006,102
2007,86.3
2008,91.6
2009,115.7
2010,115.6
2011,93.3
2012,58.4
2013,72
2014,57.1
2015,80.9
2016,120
2017,120
2018,160
2019,125
