UF,PA
Cidade,PARAGOMINAS
Nome Posto,FAZENDA PLANALTO (EX.RANCHO GRANDE)
Latitude,-3.4522222222222223
Longitude,-47.467222222222226
Codigo,347002
Qtd. Anos,37
Ano,Maxima
1982,25
1983,50
1984,72
1985,70.2
1986,60.4
1987,48.6
1988,70.9
1989,149.2
1990,74.1
1991,167
1992,91.3
1994,50.4
1995,102.6
1996,75.7
1997,101.7
1998,92
1999,80.5
2000,84.8
2001,125.3
2002,148.1
2003,135.1
2004,78
2005,117.6
2006,114
2007,106.7
2008,127.7
2009,157.8
2010,86.3
2011,120.3
2012,132.7
2013,82.5
2014,67.8
2015,65.6
2016,74.3
2017,58.2
2018,91.7
2019,73.1
