UF,PA
Cidade,RUROPOLIS
Nome Posto,CUPARI
Latitude,-4.175000000000001
Longitude,-55.426944444444445
Codigo,455002
Qtd. Anos,43
Ano,Maxima
1977,61.3
1978,92.4
1979,96
1980,92.8
1981,65.6
1982,100
1983,70.4
1984,119
1985,101.4
1986,94.4
1987,76.8
1988,76.2
1989,101.4
1990,118.8
1991,28.3
1992,83.1
1993,58.2
1994,84.4
1995,83.4
1996,65.5
1997,77.8
1998,67.6
1999,103.9
2000,77.6
2001,74.5
2002,74.1
2003,139
2004,93.5
2005,110
2006,127.7
2007,120.2
2008,119
2009,100.8
2010,101.1
2011,133.6
2012,132.4
2013,96.9
2014,113.9
2015,61.6
2016,74
2017,84
2018,81
2019,74
