UF,PA
Cidade,PORTEL
Nome Posto,FAZENDA ESTRELA DO NORTE
Latitude,-3.8705555555555557
Longitude,-50.46277777777778
Codigo,350000
Qtd. Anos,43
Ano,Maxima
1977,8.7
1978,95
1979,64.2
1980,105.1
1981,68.8
1982,73.8
1983,108.8
1984,76.1
1985,98.8
1986,62.7
1987,74.8
1988,65.4
1989,80.8
1990,55.8
1991,52.9
1992,61.3
1993,125
1994,82
1995,58.7
1996,95.4
1997,93.3
1998,110.6
1999,126.7
2000,89.5
2001,64.3
2002,108.2
2003,69.1
2004,112.8
2005,88.5
2006,76
2007,104.8
2008,96
2009,102.3
2010,116.3
2011,65.1
2012,99.6
2013,97.9
2014,103.5
2015,65
2016,81.2
2017,98.7
2018,61.3
2019,77.9
