UF,PA
Cidade,VISEU
Nome Posto,VISEU
Latitude,-1.231388888888889
Longitude,-46.187777777777775
Codigo,146009
Qtd. Anos,40
Ano,Maxima
1980,7.5
1981,68.7
1982,114.5
1983,114.6
1984,144
1985,137.6
1986,143.8
1987,113.8
1988,114.9
1989,99.9
1990,71.2
1991,119.6
1992,92.9
1993,92.9
1994,98.9
1995,148.9
1996,78.6
1997,95.6
1998,85.1
1999,89.6
2000,56.9
2001,99.8
2002,93.5
2003,75.8
2004,96.4
2005,46.6
2006,49.2
2007,45.6
2008,83.2
2009,156.5
2010,100.8
2011,139.7
2012,62.4
2013,110.3
2014,103.1
2015,113.4
2016,112.1
2017,128.1
2018,196.8
2019,297.1
