UF,PA
Cidade,SAO FELIX DO XINGU
Nome Posto,BOA ESPERANCA
Latitude,-6.702500000000001
Longitude,-51.79861111111111
Codigo,651001
Qtd. Anos,40
Ano,Maxima
1976,48
1977,70
1978,85
1979,118
1980,117
1981,80
1982,60.2
1983,66.6
1984,51.3
1985,75.4
1986,56.6
1987,84.8
1988,80.4
1989,71.4
1990,97.9
1991,148.6
1992,87.7
1993,94.5
1994,79.3
1995,74.1
1996,112.5
1997,97.8
1998,96.6
1999,75.2
2000,76.1
2001,49.4
2002,136.6
2004,121.5
2005,127.3
2006,127.5
2007,98.2
2008,71.2
2009,99.8
2010,98.2
2011,100.2
2012,241
2013,536
2017,76
2018,111
2019,99.2
