UF,PA
Cidade,SANTA ISABEL DO PARA
Nome Posto,SANTA ISABEL DO PARA
Latitude,-1.2963888888888888
Longitude,-48.170833333333334
Codigo,148003
Qtd. Anos,48
Ano,Maxima
1972,47.4
1973,119.6
1974,68
1975,75.2
1976,105
1977,97
1978,410
1979,53.2
1980,73
1981,87.2
1982,104.8
1983,56.6
1984,72
1985,150.2
1986,80.8
1987,67.6
1988,81.6
1989,81.1
1990,82
1991,55.9
1992,93.3
1993,65.8
1994,123
1995,96.3
1996,73.6
1997,94.3
1998,69.9
1999,71.8
2000,185
2001,147
2002,97
2003,78.5
2004,165.5
2005,80.8
2006,65.6
2007,74.7
2008,50.8
2009,86.8
2010,102.6
2011,133
2012,56.1
2013,156
2014,100.6
2015,96.4
2016,84
2017,74.5
2018,139.7
2019,72.3
