UF,PA
Cidade,SENADOR JOSE PORFIRIO
Nome Posto,FAZENDA CIPAUBA
Latitude,-3.723055555555556
Longitude,-51.56805555555556
Codigo,351002
Qtd. Anos,38
Ano,Maxima
1981,84.6
1982,77.9
1983,75.4
1984,100
1985,86.4
1986,221
1987,106.8
1988,110
1989,56.8
1991,95
1992,44
1993,34.4
1994,57.5
1995,84.1
1996,91.2
1997,89.6
1998,104.4
1999,129.4
2000,101.6
2001,72.9
2002,97.1
2003,59.2
2004,9.9
2005,85
2006,55
2007,87.7
2008,142.1
2009,88
2010,92.8
2011,63.3
2012,59.8
2013,140.5
2014,95.1
2015,58.8
2016,63.9
2017,117.3
2018,64.7
2019,94.1
