UF,PA
Cidade,PORTEL
Nome Posto,GRANJA GAZELA
Latitude,-3.4194444444444443
Longitude,-51.255833333333335
Codigo,351000
Qtd. Anos,42
Ano,Maxima
1977,24.2
1978,170.3
1979,93.2
1980,134.8
1981,91.4
1982,90.6
1983,111.7
1984,85.2
1985,72.3
1986,136.3
1987,127
1988,94
1989,100.2
1991,45.7
1992,108.5
1993,101
1994,130.7
1995,51.4
1996,99.2
1997,68.4
1998,65.7
1999,86.7
2000,166.6
2001,99.2
2002,77.7
2003,98.7
2004,139.1
2005,96.5
2006,81
2007,80.7
2008,100.7
2009,100
2010,137
2011,100.8
2012,78.6
2013,93.5
2014,84.9
2015,95.7
2016,91.1
2017,100.1
2018,80
2019,100
