UF,PA
Cidade,MOJU
Nome Posto,CACHOEIRA TRACAMBEUA
Latitude,-3.5141666666666667
Longitude,-49.222500000000004
Codigo,349001
Qtd. Anos,38
Ano,Maxima
1982,88.2
1983,82.8
1984,108
1985,124
1986,120.2
1987,82.6
1988,113.8
1989,143.6
1990,94.8
1991,124
1992,116
1993,68.7
1994,144.6
1995,90
1996,110.3
1997,76
1998,134.7
1999,110.9
2000,133.3
2001,77.7
2002,85.2
2003,73.9
2004,116.3
2005,101.4
2006,118.4
2007,54.4
2008,55.3
2009,99.9
2010,39.2
2011,23.5
2012,25
2013,74
2014,81.5
2015,90.4
2016,68.1
2017,135.9
2018,67.7
2019,100
