UF,PA
Cidade,SAO DOMINGOS DO CAPIM
Nome Posto,SAO DOMINGOS DO CAPIM
Latitude,-1.6774999999999998
Longitude,-47.769999999999996
Codigo,147008
Qtd. Anos,44
Ano,Maxima
1975,44.8
1976,89.4
1977,95.6
1978,67
1979,63.3
1980,79.6
1981,95
1982,110.4
1983,57.8
1984,101.6
1985,72
1986,64
1987,112.2
1988,62.6
1989,61.2
1990,22.1
1991,77.8
1992,87.6
1993,68.4
1994,74.9
1995,85.6
1996,65.8
1997,61.7
1998,95.7
1999,63.1
2000,84.4
2001,62.7
2002,68.5
2003,63.3
2004,73
2005,82.2
2006,92.8
2007,84
2008,73.9
2009,96.9
2010,118.5
2011,76.2
2012,77.7
2013,40.9
2015,40.3
2016,44.2
2017,41.5
2018,97.6
2019,107.1
