UF,PA
Cidade,CAPANEMA
Nome Posto,CAPANEMA
Latitude,-1.203611111111111
Longitude,-47.17805555555555
Codigo,147002
Qtd. Anos,54
Ano,Maxima
1966,92.2
1967,162.2
1968,90
1969,75
1970,85
1971,143
1972,39.8
1973,98
1974,125
1975,110.6
1976,58
1977,79.2
1978,118
1979,80
1980,81.2
1981,65
1982,95
1983,81
1984,52
1985,141
1986,92.6
1987,75.7
1988,81.8
1989,95.8
1990,75
1991,112
1992,86.7
1993,75.6
1994,187.9
1995,96.9
1996,112.8
1997,87.7
1998,101.6
1999,85.6
2000,170
2001,119.5
2002,76.6
2003,101.6
2004,63.9
2005,97.2
2006,77.2
2007,62.3
2008,94.7
2009,77.2
2010,88.7
2011,111.3
2012,44.7
2013,155.4
2014,305
2015,227.7
2016,125.3
2017,124.5
2018,270
2019,111.3
