UF,PA
Cidade,SANTAREM
Nome Posto,SANTAREM
Latitude,-2.443055555555556
Longitude,-54.7075
Codigo,254000
Qtd. Anos,52
Ano,Maxima
1968,61
1969,180
1970,139
1971,95
1972,79.6
1973,152.4
1974,143
1975,96.2
1976,110.2
1977,153.6
1978,81.6
1979,118.2
1980,84.8
1981,97
1982,121.4
1983,146
1984,129.4
1985,138.4
1986,125
1987,83
1988,214
1989,87.8
1990,100
1991,135.5
1992,76.3
1993,69.4
1994,90.8
1995,76.3
1996,120.9
1997,91.2
1998,123
1999,148.1
2000,130.8
2001,124.9
2002,116.6
2003,98.8
2004,133.4
2005,88
2006,174.3
2007,117.7
2008,134.7
2009,122.7
2010,83
2011,69.3
2012,103.1
2013,138
2014,75.8
2015,68.6
2016,66
2017,58.4
2018,90.4
2019,109.5
