UF,PA
Cidade,VIGIA
Nome Posto,VIGIA
Latitude,-0.8680555555555556
Longitude,-48.11027777777778
Codigo,48006
Qtd. Anos,38
Ano,Maxima
1982,24.6
1983,25
1984,85.4
1985,108.7
1986,110
1987,123.7
1988,122.4
1989,97.5
1990,86
1991,93
1992,139.5
1993,80.4
1994,92.7
1995,109.5
1996,111.3
1997,124.3
1998,109.3
1999,99.8
2000,96.7
2001,83
2002,99
2003,99.1
2004,140.3
2005,83.6
2006,44.9
2007,90.9
2008,73.2
2009,128.4
2010,75.4
2011,85.2
2012,71.9
2013,159.3
2014,83.4
2015,90.5
2016,65.5
2017,79.8
2018,144.5
2019,131.7
