UF,PA
Cidade,PRAINHA
Nome Posto,SANTA CRUZ
Latitude,-1.1788888888888889
Longitude,-53.599444444444444
Codigo,253000
Qtd. Anos,36
Ano,Maxima
1984,50
1985,115
1986,110
1987,60.8
1988,115.3
1989,130
1990,58.8
1991,117.2
1992,76
1993,118.2
1994,74.6
1995,45.9
1996,72.8
1997,49.5
1998,84.2
1999,52.4
2000,64.7
2001,27.9
2002,57.2
2003,97.4
2004,118.6
2005,74.8
2006,79.5
2007,58.3
2008,58.5
2009,152.2
2010,124.8
2011,100.5
2012,79.2
2013,87.5
2014,109.6
2015,82.5
2016,87.5
2017,93.1
2018,90.7
2019,90.7
