UF,PA
Cidade,TUCURUI
Nome Posto,GOIANESIA
Latitude,-3.8336111111111113
Longitude,-49.08583333333333
Codigo,349002
Qtd. Anos,35
Ano,Maxima
1985,90.1
1986,120
1987,115.8
1988,76.8
1989,84.2
1990,133.3
1991,69.4
1992,118.5
1993,150
1994,125.2
1995,62.2
1996,79.6
1997,140.5
1998,90.6
1999,140.5
2000,110.3
2001,123.2
2002,112.5
2003,101.5
2004,111
2005,120
2006,100.5
2007,95.3
2008,146.5
2009,104.3
2010,187.5
2011,145.7
2012,134
2013,80.5
2014,120.2
2015,90.3
2016,103.9
2017,108.8
2018,120.5
2019,80.3
