UF,PA
Cidade,OEIRAS DO PARA
Nome Posto,OEIRAS DO PARA
Latitude,-2.0019444444444443
Longitude,-49.86361111111111
Codigo,149003
Qtd. Anos,38
Ano,Maxima
1982,70
1983,98.4
1984,116
1985,146.2
1986,89.8
1987,101.6
1988,103.6
1989,135.8
1990,59.8
1991,62.7
1992,46.7
1993,164.8
1994,126.4
1995,98.9
1996,96.9
1997,96.7
1998,99.7
1999,88.2
2000,96.3
2001,88.5
2002,85
2003,88.5
2004,77.9
2005,73.2
2006,86.5
2007,114.1
2008,104.3
2009,169.8
2010,98
2011,126.7
2012,65
2013,154.9
2014,96.9
2015,82.5
2016,128.3
2017,92.9
2018,83.1
2019,85.7
