UF,PA
Cidade,SANTANA DO ARAGUAIA
Nome Posto,BARREIRA DO CAMPO
Latitude,-9.227500000000001
Longitude,-50.21083333333333
Codigo,950001
Qtd. Anos,40
Ano,Maxima
1980,91.9
1981,57.8
1982,54.8
1983,75.7
1984,72.4
1985,155.3
1986,79.9
1987,75.3
1988,61.6
1989,83.2
1990,80.4
1991,60
1992,100.4
1993,70.7
1994,70.5
1995,90.3
1996,7.8
1997,45.1
1998,68.7
1999,63
2000,96
2001,84
2002,66.1
2003,934
2004,76.2
2005,79.5
2006,93.1
2007,58.2
2008,57.8
2009,88.5
2010,81
2011,99.5
2012,64.1
2013,98.1
2014,101.7
2015,96.2
2016,76.1
2017,86.5
2018,85
2019,67.5
