UF,PA
Cidade,OBIDOS
Nome Posto,OBIDOS
Latitude,-1.9013888888888888
Longitude,-55.51861111111111
Codigo,155001
Qtd. Anos,62
Ano,Maxima
1928,64.8
1929,65.3
1930,64.2
1931,63.9
1932,64.7
1933,63.3
1934,68.2
1935,63.8
1936,46.2
1937,71.9
1938,99.4
1939,64.3
1940,67.2
1941,75.4
1942,95.2
1943,68.5
1944,121.3
1945,125.4
1946,71.8
1947,92.9
1948,70.2
1949,73.3
1950,84.7
1951,88.8
1952,124.1
1953,126
1954,148.3
1955,97.6
1956,110.6
1970,89
1971,98.4
1972,78
1973,93
1974,80
1975,110
1976,66.2
1977,122.9
1978,103.8
1979,82.2
1980,61
1981,71.6
1982,101.7
1983,49.3
1984,96.2
1985,134.4
1986,116.2
1987,79.3
1988,110.8
1989,70.4
1990,187.1
1991,80
1992,141.5
1993,66.6
1994,77
1995,82.2
1996,97.6
1997,108.5
1998,80
1999,78.6
2000,106.7
2001,107.6
2002,96.8
