UF,PA
Cidade,VISEU
Nome Posto,ALTO BONITO
Latitude,-1.8175
Longitude,-46.34388888888889
Codigo,146008
Qtd. Anos,44
Ano,Maxima
1976,71.3
1977,63.8
1978,77.8
1979,83.2
1980,133.6
1981,84.2
1982,64.4
1983,60.4
1984,83.2
1985,77.7
1986,72.9
1987,63.8
1988,76.6
1989,58.1
1990,52.9
1991,116
1992,94.7
1993,72
1994,99.2
1995,45.5
1996,90.7
1997,64.5
1998,82.5
1999,41.3
2000,107
2001,76.7
2002,51.7
2003,71.6
2004,87.1
2005,62.3
2006,90.6
2007,60.7
2008,72.6
2009,74
2010,103.4
2011,142
2012,70.3
2013,47.2
2014,64.8
2015,59.7
2016,78.6
2017,62
2018,94.4
2019,61.1
