UF,PA
Cidade,MELGACO
Nome Posto,AREIAS
Latitude,-1.2130555555555556
Longitude,-51.26222222222222
Codigo,151002
Qtd. Anos,38
Ano,Maxima
1982,46
1983,104
1984,95.1
1985,120.4
1986,66
1987,75
1988,77.8
1989,118.5
1990,77
1991,96.3
1992,63.2
1993,68.5
1994,60
1995,74.5
1996,88
1997,69.9
1998,80
1999,107.7
2000,99.9
2001,69.7
2002,70.3
2003,77.5
2004,78.1
2005,65.6
2006,79.2
2007,97.8
2008,129.7
2009,103.2
2010,77.8
2011,131.1
2012,139.8
2013,70.5
2014,53.8
2015,44.2
2016,39.2
2017,57.2
2018,50.3
2019,45.7
