UF,PA
Cidade,SOURE
Nome Posto,SOURE (ILHA DE MARAJO)
Latitude,-0.7277777777777777
Longitude,-48.51583333333333
Codigo,48000
Qtd. Anos,38
Ano,Maxima
1961,162.2
1962,138.5
1963,131.4
1964,158.4
1965,113
1966,235.3
1967,174.9
1968,134.8
1969,98.2
1970,138.1
1971,129.5
1972,93.8
1973,155.5
1974,119.4
1975,206
1976,156
1977,131.9
1978,90.2
1979,110.5
1980,144.9
1981,112.3
1982,132.3
1983,97.2
1984,161.7
1985,165.9
1986,186.2
1987,132.2
1988,137.3
1989,124.4
1990,207.1
1991,242.6
1992,199
1993,121.8
1994,153.2
1995,212.3
1996,132.8
1997,194
1998,168.2
