UF,PA
Cidade,BELEM
Nome Posto,MOSQUEIRO
Latitude,-1.0941666666666665
Longitude,-48.39861111111111
Codigo,148012
Qtd. Anos,38
Ano,Maxima
1982,88.6
1983,100
1984,68.9
1985,130.2
1986,114.4
1987,64.9
1988,91.9
1989,125.6
1990,94.6
1991,135.4
1992,224.5
1993,121.5
1994,150.2
1995,121.1
1996,122.3
1997,108
1998,61.3
1999,208.3
2000,95.8
2001,83.3
2002,66.2
2003,95.6
2004,114.2
2005,62.3
2006,158
2007,114
2008,189.6
2009,137.7
2010,109.5
2011,118.1
2012,67.7
2013,80.3
2014,82.4
2015,77.5
2016,74.3
2017,99.7
2018,146.8
2019,66.4
