UF,PA
Cidade,CURUCA
Nome Posto,CURUCA
Latitude,-0.7374999999999999
Longitude,-47.853611111111114
Codigo,47003
Qtd. Anos,39
Ano,Maxima
1981,31.2
1982,139
1983,140
1984,195.8
1985,195
1986,135.2
1987,140
1988,85.3
1989,92.7
1990,122.7
1991,124.4
1992,41.3
1993,79.2
1994,127.8
1995,137.1
1996,95.8
1997,180.1
1998,154
1999,79
2000,111.7
2001,128.8
2002,85.3
2003,142.2
2004,139.3
2005,108.8
2006,109.8
2007,146.4
2008,135.3
2009,134.7
2010,130.9
2011,112.1
2012,107.5
2013,132.1
2014,118.3
2015,156.6
2016,91
2017,79.2
2018,110.3
2019,140.8
