UF,PA
Cidade,ORIXIMINA
Nome Posto,CACH DA PORTEIRA - CONJ 1
Latitude,-1.0875
Longitude,-57.04694444444444
Codigo,157000
Qtd. Anos,43
Ano,Maxima
1975,59.2
1976,108
1977,90.8
1978,97
1979,89.6
1980,57.4
1981,67
1982,93
1983,90
1984,121.6
1985,84.2
1986,70
1987,67.8
1988,89.1
1991,35
1992,69
1993,87.5
1994,100.4
1995,186.9
1996,143.2
1997,98.9
1998,99.3
1999,128
2000,110.9
2001,128.8
2002,111.7
2003,63.4
2004,97.6
2005,144.6
2006,140
2007,112.6
2008,121.2
2009,97.6
2010,96.4
2011,145
2012,98.3
2013,88.1
2014,176.8
2015,84.8
2016,146.7
2017,99.1
2018,105.1
2019,106.8
