UF,PA
Cidade,ALENQUER
Nome Posto,BOCA DO INFERNO
Latitude,-1.5
Longitude,-54.87138888888889
Codigo,154001
Qtd. Anos,45
Ano,Maxima
1975,51.8
1976,75.1
1977,75.5
1978,76.1
1979,54.3
1980,66.2
1981,75
1982,135.2
1983,51.5
1984,79.2
1985,60.4
1986,70.7
1987,72
1988,126
1989,88.3
1990,111
1991,105
1992,122.9
1993,138.5
1994,96.5
1995,91
1996,108.5
1997,45.8
1998,65
1999,97.8
2000,78.5
2001,84
2002,114
2003,91.4
2004,76.1
2005,103.5
2006,85
2007,469.6
2008,48.2
2009,71
2010,98.4
2011,80.7
2012,225
2013,55.3
2014,76.8
2015,73.6
2016,126.8
2017,101.6
2018,137
2019,100.7
