UF,PA
Cidade,SAO DOMINGOS DO CAPIM
Nome Posto,RONDON DO PARA
Latitude,-4.803611111111111
Longitude,-48.06888888888889
Codigo,448000
Qtd. Anos,40
Ano,Maxima
1980,134
1981,165
1982,123
1983,78.4
1984,128.4
1985,109.2
1986,114.4
1987,80.4
1988,79.2
1989,100.2
1990,100.5
1991,70
1992,143.2
1993,68.3
1994,150.6
1995,150.2
1996,72.6
1997,121.2
1998,147.3
1999,123.3
2000,85.2
2001,83.2
2002,131
2003,120.8
2004,90.1
2005,80.3
2006,72.1
2007,48.2
2008,20.4
2009,111
2010,165.7
2011,56.9
2012,110.5
2013,70.8
2014,100
2015,77.6
2016,61.2
2017,77.2
2018,114
2019,89.3
