UF,PA
Cidade,SAO DOMINGOS DO CAPIM
Nome Posto,BADAJOS
Latitude,-2.512777777777778
Longitude,-47.768055555555556
Codigo,247000
Qtd. Anos,48
Ano,Maxima
1972,37.2
1973,110.4
1974,148.9
1975,98.8
1976,88.2
1977,59.6
1978,101.8
1979,90.6
1980,96
1981,107.2
1982,176.9
1983,64.4
1984,80.4
1985,91.6
1986,124.3
1987,55.2
1988,72
1989,38.1
1990,55.8
1991,84.6
1992,86.2
1993,74.2
1994,78.9
1995,78.2
1996,134.5
1997,77.8
1998,88.4
1999,115.7
2000,87.3
2001,119
2002,116.3
2003,85
2004,91.8
2005,98.7
2006,133.5
2007,84.8
2008,90.3
2009,112.9
2010,64
2011,117.8
2012,86.3
2013,87.2
2014,120
2015,100
2016,90
2017,98.7
2018,130
2019,93.2
