UF,PA
Cidade,ITAITUBA
Nome Posto,FAZENDA MARCONDES
Latitude,-3.966388888888889
Longitude,-54.64194444444444
Codigo,454001
Qtd. Anos,36
Ano,Maxima
1982,10.4
1983,9.9
1984,77.9
1985,72.2
1986,235.4
1987,69.9
1988,67.9
1989,81
1992,36.4
1993,55
1994,119.5
1995,72.2
1996,83.6
1997,54.7
1998,57.6
1999,123.5
2000,78.3
2001,139
2002,96.2
2003,64.8
2004,147.3
2005,82.5
2006,72.9
2007,45.6
2008,48.9
2009,47.6
2010,44.7
2011,52.1
2012,48
2013,65.5
2014,63
2015,73.3
2016,96.8
2017,107.2
2018,126.4
2019,78.3
