UF,PA
Cidade,ITAITUBA
Nome Posto,KM 1385 BR-163
Latitude,-4.754722222222222
Longitude,-56.07944444444445
Codigo,455003
Qtd. Anos,40
Ano,Maxima
1980,63.3
1981,75.7
1982,140.2
1983,71
1984,94
1985,60.3
1986,72
1987,58.6
1988,78
1989,72.2
1990,60.8
1991,117.2
1992,101.3
1993,155.2
1994,195.2
1995,141.2
1996,90.7
1997,80.3
1998,60.3
1999,70.9
2000,72.1
2001,27.6
2002,90
2003,60.5
2004,90.5
2005,92.6
2006,150.3
2007,99.3
2008,79.5
2009,99.6
2010,68.7
2011,101
2012,125.5
2013,132
2014,110.5
2015,100.5
2016,115
2017,93.5
2018,121.7
2019,90.1
