UF,PA
Cidade,PORTEL
Nome Posto,ACAMPAMENTO IBDF
Latitude,-1.7922222222222222
Longitude,-51.43444444444444
Codigo,151001
Qtd. Anos,40
Ano,Maxima
1980,50.4
1981,90.6
1982,78
1983,69.2
1984,90
1985,85.2
1986,64.6
1987,73.6
1988,110.6
1989,68.8
1990,107.9
1991,85.1
1992,104.7
1993,69.2
1994,165.5
1995,86
1996,115.8
1997,100.1
1998,131
1999,64.8
2000,76.4
2001,118.7
2002,97
2003,78.8
2004,74.6
2005,101.5
2006,83.1
2007,57.2
2008,158.2
2009,134.4
2010,116.7
2011,105.4
2012,172.7
2013,89
2014,98.6
2015,70.1
2016,86.3
2017,79.4
2018,161.8
2019,150.5
