UF,PA
Cidade,PARAGOMINAS
Nome Posto,PARAGOMINAS
Latitude,-3.01
Longitude,-47.343333333333334
Codigo,347000
Qtd. Anos,38
Ano,Maxima
1981,57
1982,127.6
1983,54.4
1984,94
1985,121
1986,70.3
1987,32
1988,83.6
1989,76.8
1990,90.9
1992,72.2
1993,49.8
1994,71.8
1995,60.4
1996,124.4
1997,61.2
1998,110.5
1999,82.8
2000,104.5
2001,68.5
2002,72.5
2003,94.8
2004,87.6
2005,83.4
2006,110
2007,232.1
2008,88.3
2009,86
2010,71
2011,77
2012,107.5
2013,77.7
2014,96.4
2015,90
2016,62.7
2017,92.3
2018,109.2
2019,134.2
