UF,PA
Cidade,ABAETETUBA
Nome Posto,ABAETETUBA
Latitude,-1.7502777777777778
Longitude,-48.86694444444444
Codigo,148010
Qtd. Anos,40
Ano,Maxima
1980,45
1981,49.7
1982,49.3
1983,44.2
1984,47.8
1985,47.2
1986,71.8
1987,77
1988,144.8
1989,102
1990,87.8
1991,85.3
1992,73.3
1993,87.8
1994,123.8
1995,180.8
1996,101.3
1997,77.3
1998,109.8
1999,131
2000,101
2001,102
2002,113.5
2003,83.5
2004,101.7
2005,108.3
2006,107.9
2007,74.6
2008,78.5
2009,109.8
2010,95.4
2011,108.2
2012,75.6
2013,119.4
2014,71
2015,83.8
2016,127.4
2017,93.4
2018,108.2
2019,129.6
