UF,PA
Cidade,MONTE ALEGRE
Nome Posto,ARAPARI
Latitude,-1.773611111111111
Longitude,-54.39722222222222
Codigo,154000
Qtd. Anos,48
Ano,Maxima
1972,55.4
1973,86
1974,106
1975,76.4
1976,78.8
1977,64.8
1978,65.2
1979,66
1980,80
1981,91.9
1982,75.6
1983,71
1984,109.6
1985,85.4
1986,104.8
1987,61
1988,95.7
1989,145.6
1990,69.2
1991,74.9
1992,60
1993,101.4
1994,65.2
1995,87.5
1996,127.4
1997,43.6
1998,48.4
1999,76
2000,70.2
2001,150
2002,90.7
2003,76.5
2004,139.3
2005,102.3
2006,145.8
2007,54.3
2008,71
2009,147.7
2010,98.5
2011,134.4
2012,74
2013,77.3
2014,63.1
2015,65.3
2016,119.8
2017,111.2
2018,95
2019,148.4
