UF,PA
Cidade,RUROPOLIS
Nome Posto,RUROPOLIS PRESIDENTE MEDICI
Latitude,-4.092499999999999
Longitude,-54.901944444444446
Codigo,455004
Qtd. Anos,38
Ano,Maxima
1982,34.6
1983,101.3
1984,90
1985,88.1
1986,109.6
1987,130.8
1988,111
1989,102
1990,72
1991,88.5
1992,56
1993,53.5
1994,65.5
1995,80
1996,111.5
1997,46.9
1998,45.1
1999,85.2
2000,111.5
2001,90.8
2002,100.7
2003,73.7
2004,80
2005,93.3
2006,107.3
2007,90
2008,138.1
2009,99.4
2010,102.8
2011,86
2012,108.2
2013,120.6
2014,77.8
2015,142.6
2016,110
2017,104.4
2018,165
2019,93.7
