UF,PA
Cidade,AURORA DO PARA
Nome Posto,FAZENDA JAUARA
Latitude,-2.0355555555555553
Longitude,-47.75055555555556
Codigo,247003
Qtd. Anos,38
Ano,Maxima
1982,33
1983,61.2
1984,96.6
1985,102.4
1986,108.4
1987,171.2
1988,128.1
1989,122.1
1990,74
1991,110.6
1992,60
1993,100.4
1994,88
1995,101.5
1996,165.2
1997,92.8
1998,129.8
1999,99.5
2000,62.1
2001,108.4
2002,52
2003,85.3
2004,87.9
2005,87.8
2006,111.8
2007,87.3
2008,59.4
2009,48.9
2010,45.4
2011,47
2012,56.7
2013,56.2
2014,47.7
2015,45.5
2016,51.7
2017,48.6
2018,60.6
2019,48.3
