UF,PA
Cidade,AUGUSTO CORREA
Nome Posto,EMBORAI
Latitude,-1.2916666666666665
Longitude,-46.58361111111111
Codigo,146010
Qtd. Anos,36
Ano,Maxima
1984,61.4
1985,135.8
1986,87.1
1987,69.4
1988,95.2
1989,125.5
1990,83.8
1991,134.2
1992,82
1993,66.7
1994,95.8
1995,76.9
1996,87.7
1997,130.8
1998,72.3
1999,99.9
2000,74.6
2001,103.3
2002,136.8
2003,113.2
2004,78.4
2005,136.3
2006,66.4
2007,66.4
2008,91.2
2009,154.8
2010,107.7
2011,106.4
2012,78.7
2013,70.9
2014,125.5
2015,89.7
2016,106.3
2017,82.7
2018,115.3
2019,122
