UF,PA
Cidade,ALTAMIRA
Nome Posto,BRASIL NOVO
Latitude,-3.3077777777777775
Longitude,-52.54194444444444
Codigo,352005
Qtd. Anos,38
Ano,Maxima
1982,66.1
1983,93.5
1984,150
1985,104.8
1986,80.1
1987,67.6
1988,110
1989,116.8
1990,61
1991,99.7
1992,60.8
1993,88.6
1994,81
1995,140
1996,91.9
1997,108.3
1998,60.7
1999,76.3
2000,82.9
2001,80.2
2002,123.8
2003,92.5
2004,65.5
2005,92.7
2006,140
2007,107
2008,277
2009,121.3
2010,154.2
2011,86
2012,90
2013,123
2014,164
2015,147
2016,97
2017,107.7
2018,122.1
2019,120
