UF,PA
Cidade,SANTAREM
Nome Posto,SITIO SAO PEDRO
Latitude,-3.888888888888889
Longitude,-54.315
Codigo,354000
Qtd. Anos,41
Ano,Maxima
1978,136
1979,98
1980,52
1981,55.6
1982,217.6
1983,51.6
1984,107
1985,125.4
1986,74.4
1987,75
1988,71
1989,95.8
1991,53.6
1992,78.1
1993,64.3
1994,141.6
1995,117.6
1996,169
1997,68.1
1998,85.2
1999,76.6
2000,95.7
2001,66.6
2002,74
2003,73.2
2004,74.5
2005,63.6
2006,118.7
2007,73.8
2008,83
2009,118.2
2010,90.3
2011,85.4
2012,56.5
2013,72.4
2014,76.8
2015,99.8
2016,69.3
2017,120
2018,148.5
2019,85.8
